sid,cluster_0_ratio,cluster_1_ratio,cluster_2_ratio,cluster_3_ratio,cluster_4_ratio,cluster_5_ratio,cluster_6_ratio,cluster_7_ratio,cluster_8_ratio,cluster_9_ratio
261,0.431372549,0.509803922,0,0,0,0,0,0.058823529,0,0
262,0.098039216,0,0.156862745,0.098039216,0.294117647,0.078431373,0,0.254901961,0.019607843,0
263,0.274509804,0,0.274509804,0.039215686,0.235294118,0.137254902,0.039215686,0,0,0
264,0.431372549,0,0,0.058823529,0,0.156862745,0.019607843,0,0.333333333,0
265,0,0.37254902,0,0,0,0,0.62745098,0,0,0
266,0.490196078,0.078431373,0,0,0,0,0.078431373,0,0.352941176,0
267,0.62745098,0.37254902,0,0,0,0,0,0,0,0
268,0.568627451,0.176470588,0,0,0,0.058823529,0,0,0.196078431,0
269,0.078431373,0.058823529,0,0,0,0.117647059,0,0.470588235,0.274509804,0
270,0.078431373,0,0.117647059,0.058823529,0.235294118,0.137254902,0.058823529,0.274509804,0.039215686,0
271,0.450980392,0,0.196078431,0.098039216,0.117647059,0.058823529,0.058823529,0,0.019607843,0
272,0.37254902,0.450980392,0,0,0,0,0.176470588,0,0,0
273,0.254901961,0,0.235294118,0.078431373,0.156862745,0.078431373,0.019607843,0.176470588,0,0
274,0.392156863,0,0.215686275,0.078431373,0.137254902,0.117647059,0.019607843,0.039215686,0,0
275,0.568627451,0.176470588,0,0,0,0.039215686,0,0,0.215686275,0
276,0.588235294,0.411764706,0,0,0,0,0,0,0,0
277,0,0.294117647,0,0,0,0,0,0.705882353,0,0
278,0.470588235,0,0,0,0,0.098039216,0,0.019607843,0.411764706,0
279,0.549019608,0.450980392,0,0,0,0,0,0,0,0
280,0.215686275,0,0.196078431,0.098039216,0.235294118,0.098039216,0.098039216,0.058823529,0,0
281,0,0.392156863,0,0,0,0,0,0.607843137,0,0
282,0.450980392,0.196078431,0,0,0,0.039215686,0.058823529,0,0.254901961,0
283,0.078431373,0,0.137254902,0.156862745,0.196078431,0.098039216,0,0.333333333,0,0
284,0.235294118,0,0,0.039215686,0,0.176470588,0,0.254901961,0.294117647,0
285,0.294117647,0.333333333,0,0,0,0,0,0.37254902,0,0
286,0.529411765,0.176470588,0,0,0,0.117647059,0,0,0.176470588,0
287,0.019607843,0,0,0,0,0.156862745,0,0.62745098,0.196078431,0
288,0.392156863,0.411764706,0,0,0,0,0.196078431,0,0,0
289,0,0.274509804,0,0,0,0,0,0.725490196,0,0
290,0.392156863,0,0,0.098039216,0,0.098039216,0.078431373,0,0.333333333,0
291,0,0.37254902,0,0,0,0,0,0.62745098,0,0
292,0.470588235,0.411764706,0,0,0,0,0.117647059,0,0,0
293,0.450980392,0.352941176,0,0,0,0,0.196078431,0,0,0
294,0.254901961,0,0.137254902,0.078431373,0.333333333,0.098039216,0.098039216,0,0,0
295,0.176470588,0.411764706,0,0,0,0,0,0.411764706,0,0
296,0,0.392156863,0,0,0,0,0.607843137,0,0,0
297,0.039215686,0.274509804,0,0,0,0,0,0.68627451,0,0
298,0.509803922,0.431372549,0,0,0,0,0.058823529,0,0,0
299,0,0,0.215686275,0.098039216,0.215686275,0.078431373,0.352941176,0,0.039215686,0
300,0.450980392,0.37254902,0,0,0,0,0.176470588,0,0,0
301,0.509803922,0.431372549,0,0,0,0,0.058823529,0,0,0
302,0.235294118,0,0.254901961,0.058823529,0.254901961,0.098039216,0.039215686,0.058823529,0,0
303,0.31372549,0,0.254901961,0.078431373,0.235294118,0.039215686,0.078431373,0,0,0
304,0.431372549,0,0.196078431,0.137254902,0.098039216,0.137254902,0,0,0,0
305,0.568627451,0.431372549,0,0,0,0,0,0,0,0
306,0,0.294117647,0,0,0,0,0,0.705882353,0,0
307,0,0.254901961,0,0,0,0,0,0.745098039,0,0
308,0.490196078,0.352941176,0,0,0,0,0,0.156862745,0,0
309,0.647058824,0.352941176,0,0,0,0,0,0,0,0
310,0.666666667,0.333333333,0,0,0,0,0,0,0,0
311,0.078431373,0,0.176470588,0.117647059,0.098039216,0.058823529,0,0.470588235,0,0
312,0.470588235,0.529411765,0,0,0,0,0,0,0,0
313,0,0.352941176,0,0,0,0,0.647058824,0,0,0
314,0,0.294117647,0,0,0,0,0,0.705882353,0,0
315,0.019607843,0,0.176470588,0.196078431,0.137254902,0.117647059,0,0.352941176,0,0
316,0.37254902,0,0.196078431,0.098039216,0.196078431,0.098039216,0,0.039215686,0,0
317,0.019607843,0,0.254901961,0.156862745,0,0.117647059,0,0.450980392,0,0
318,0.588235294,0.411764706,0,0,0,0,0,0,0,0
319,0.235294118,0.392156863,0,0,0,0,0.37254902,0,0,0
320,0.588235294,0.274509804,0,0,0,0,0,0.137254902,0,0
321,0.62745098,0.37254902,0,0,0,0,0,0,0,0
322,0.37254902,0,0.196078431,0.078431373,0.274509804,0.039215686,0.019607843,0,0.019607843,0
323,0.176470588,0,0.235294118,0.058823529,0.098039216,0.098039216,0,0.235294118,0,0.098039216
324,0,0,0.156862745,0.019607843,0,0.137254902,0,0.352941176,0,0.333333333
325,0,0.31372549,0,0,0,0,0,0.68627451,0,0
326,0.215686275,0,0.215686275,0.078431373,0.176470588,0.117647059,0,0.196078431,0,0
327,0.431372549,0.509803922,0,0,0,0,0.058823529,0,0,0
328,0,0,0.254901961,0.039215686,0.274509804,0.078431373,0.31372549,0,0.039215686,0
329,0.411764706,0,0,0,0,0.117647059,0,0.156862745,0.31372549,0
